
erick,20211014040038,Consulta
Kjkk,kkkkk,Manutenção,11:05:10
Ester Avelino111,11137066431,Manutenção,18:09:48
Xkkdkd,skskksks,Manutenção,2025-04-22 09:50:34
Cc,CC,Manutenção,2025-04-29 12:38:43
Dd,DD,Visita Técnica,2025-04-29 12:40:35
Ddd,DD,Manutenção,2025-04-29 12:43:10
Luks,202033,Consulta,2025-04-29 12:44:08
Joana,222333444555,Visita Técnica,2025-04-29 12:46:27
Niviton,20202,Consulta,2025-04-30 10:36:16
Prof,209328098509,Visita Técnica,2025-04-30 10:52:13
Igor,203293203,Visita Técnica,2025-04-30 11:00:56
Igor,203293203,Visita Técnica,2025-04-30 11:00:57
Nn,nn,Emprestimo,2025-04-30 17:49:05
Nivi,555,Visita Técnica,2025-04-30 18:16:30
Nivi,222,Emprestimo,2025-04-30 18:39:21
Niviton,,Visita Técnica,2025-05-12 09:15:38
2,2,Visita Técnica,2025-05-12 15:47:28
3,3,Visita Técnica,2025-05-14 16:14:31
n,3,Emprestimo,2025-05-14 16:18:11
n,2,Emprestimo,2025-05-14 16:26:45
vivi,1111,Emprestimo,2025-05-18 20:04:26
vivi,111111111111111111111111111111111111,Emprestimo,2025-05-18 20:08:59
1111,1111,Emprestimo,2025-05-18 20:10:58
11111111,11111111,Empréstimo,2025-05-18 20:13:39
ssssssssss,898989889,Visita Técnica,2025-05-18 20:14:36
1,1,Visita Técnica,2025-05-16 19:30:24
ester,33092409532,Visita Técnica,2025-05-19 10:33:30
ester,33092409532,Visita Técnica,2025-05-19 10:34:08
ester,23323,Consulta,2025-05-19 10:38:14
qqqqqqqq,qqqqqqqqqq,Consulta,2025-05-19 10:38:59
22,22,Consulta,2025-05-19 10:39:49
11111111111,1111111111,Consulta,2025-05-19 11:02:35
11111111111,1111111111,Consulta,2025-05-19 11:02:53
nn,22,Consulta,2025-05-21 10:11:54
3,3,Consulta,2025-05-21 10:13:53
2,1,Consulta,2025-05-21 10:14:39
1,,Consulta,2025-05-21 10:16:45
1,,Consulta,2025-05-21 10:21:57
1,,Consulta,2025-05-21 10:30:44
1,,Consulta,2025-05-21 10:32:02
1,,Consulta,2025-05-21 10:43:03
1,,Manutenção,2025-05-21 10:43:33
1,,Manutenção,2025-05-21 10:47:14
1,,Consulta,2025-05-21 10:47:59
1,,Consulta,2025-05-21 10:48:42
1,,Manutenção,2025-05-21 10:48:53
1,,Consulta,2025-05-26 10:42:34
1,,Consulta,2025-05-26 10:49:44
1,,Consulta,2025-05-26 10:52:39
1,,Consulta,2025-05-26 10:56:48
1,,Consulta,2025-05-26 10:57:08
1,,Consulta,2025-05-26 10:59:03
1,,Consulta,2025-05-26 11:00:38
1,,Consulta,2025-05-26 11:04:19
1,,Consulta,2025-05-26 11:08:49
1,,Consulta,2025-05-26 11:09:57
1,,Consulta,2025-05-26 11:13:37
1,,Consulta,2025-05-26 11:15:18
1,,Consulta,2025-05-26 11:27:07
